person,film,role
Ryan Eslinger,"('UFO', 2018)",director
Ingrid Bolsø Berdal,"('Cold Prey', 2006)",actor
Rolf Kristian Larsen,"('Cold Prey', 2006)",actor
Tomas Alf Larsen,"('Cold Prey', 2006)",actor
Endre Martin Midtstigen,"('Cold Prey', 2006)",actor
Roar Uthaug,"('Cold Prey', 2006)",director
Chris Rock,"('CB4', 1993)",actor
Allen Payne,"('CB4', 1993)",actor
Deezer D,"('CB4', 1993)",actor
Chris Elliott,"('CB4', 1993)",actor
Tamra Davis,"('CB4', 1993)",director
Len Cariou,"('The Onion Movie', 2008)",actor
Sarah Mcelligott,"('The Onion Movie', 2008)",actor
Amir Talai,"('The Onion Movie', 2008)",actor
Daniel Chacon,"('The Onion Movie', 2008)",actor
Tom Kuntz,"('The Onion Movie', 2008)",director
Mike Maguire,"('The Onion Movie', 2008)",director
Jeffrey Combs,"('Bride of Re-Animator', 1990)",actor
Bruce Abbott,"('Bride of Re-Animator', 1990)",actor
Claude Earl Jones,"('Bride of Re-Animator', 1990)",actor
Fabiana Udenio,"('Bride of Re-Animator', 1990)",actor
Brian Yuzna,"('Bride of Re-Animator', 1990)",director
Kevin Dorman,"('Resident Evil: Vendetta', 2017)",actor
Matthew Mercer,"('Resident Evil: Vendetta', 2017)",actor
Erin Cahill,"('Resident Evil: Vendetta', 2017)",actor
John Demita,"('Resident Evil: Vendetta', 2017)",actor
Takanori Tsujimoto,"('Resident Evil: Vendetta', 2017)",director
Tim Robbins,"('I.Q.', 1994)",actor
Meg Ryan,"('I.Q.', 1994)",actor
Walter Matthau,"('I.Q.', 1994)",actor
Lou Jacobi,"('I.Q.', 1994)",actor
Fred Schepisi,"('I.Q.', 1994)",director
Liv Tyler,"(""One Night at McCool's"", 2001)",actor
Matt Dillon,"(""One Night at McCool's"", 2001)",actor
Mary Jo Smith,"(""One Night at McCool's"", 2001)",actor
Michael Douglas,"(""One Night at McCool's"", 2001)",actor
Harald Zwart,"(""One Night at McCool's"", 2001)",director
Tyler James Williams,"('Dear White People', 2014)",actor
Tessa Thompson,"('Dear White People', 2014)",actor
Kyle Gallner,"('Dear White People', 2014)",actor
Teyonah Parris,"('Dear White People', 2014)",actor
Justin Simien,"('Dear White People', 2014)",director
Kate Hudson,"('A Little Bit of Heaven', 2011)",actor
Gael Garcia Bernal,"('A Little Bit of Heaven', 2011)",actor
Kathy Bates,"('A Little Bit of Heaven', 2011)",actor
Peter Dinklage,"('A Little Bit of Heaven', 2011)",actor
Nicole Kassell,"('A Little Bit of Heaven', 2011)",director
Susan Sarandon,"('Anywhere But Here', 1999)",actor
Natalie Portman,"('Anywhere But Here', 1999)",actor
Hart Bochner,"('Anywhere But Here', 1999)",actor
Eileen Ryan,"('Anywhere But Here', 1999)",actor
Wayne Wang,"('Anywhere But Here', 1999)",director
Rob Lowe,"('Holiday in the Wild', 2019)",actor
Kristin Davis,"('Holiday in the Wild', 2019)",actor
Fezile Mpela,"('Holiday in the Wild', 2019)",actor
John Owen Lowe,"('Holiday in the Wild', 2019)",actor
Ernie Barbarash,"('Holiday in the Wild', 2019)",director
Jessica De Gouw,"('OtherLife', 2017)",actor
Liam Graham,"('OtherLife', 2017)",actor
Fiona Press,"('OtherLife', 2017)",actor
Adriane Daff,"('OtherLife', 2017)",actor
Ben C. Lucas,"('OtherLife', 2017)",director
Jon Bernthal,"('Sweet Virginia', 2017)",actor
Christopher Abbott,"('Sweet Virginia', 2017)",actor
Imogen Poots,"('Sweet Virginia', 2017)",actor
Rosemarie Dewitt,"('Sweet Virginia', 2017)",actor
Jamie M. Dagg,"('Sweet Virginia', 2017)",director
Joely Richardson,"('The Last Mimzy', 2007)",actor
Rainn Wilson,"('The Last Mimzy', 2007)",actor
Timothy Hutton,"('The Last Mimzy', 2007)",actor
Chris O'Neil,"('The Last Mimzy', 2007)",actor
Robert Shaye,"('The Last Mimzy', 2007)",director
Sharlto Copley,"('Open Grave', 2013)",actor
Thomas Kretschmann,"('Open Grave', 2013)",actor
Josie Ho,"('Open Grave', 2013)",actor
Joseph Morgan,"('Open Grave', 2013)",actor
Gonzalo Lopez-Gallego,"('Open Grave', 2013)",director
Max Records,"('I Am Not a Serial Killer', 2016)",actor
Christopher Lloyd,"('I Am Not a Serial Killer', 2016)",actor
Laura Fraser,"('I Am Not a Serial Killer', 2016)",actor
Christina Baldwin,"('I Am Not a Serial Killer', 2016)",actor
Billy O'Brien,"('I Am Not a Serial Killer', 2016)",director
Ko Shibasaki,"('One Missed Call', 2003)",actor
Shin'Ichi Tsutsumi,"('One Missed Call', 2003)",actor
Kazue Fukiishi,"('One Missed Call', 2003)",actor
Anna Nagata,"('One Missed Call', 2003)",actor
Takashi Miike,"('One Missed Call', 2003)",director
John Cusack,"('The Ice Harvest', 2005)",actor
Billy Bob Thornton,"('The Ice Harvest', 2005)",actor
Connie Nielsen,"('The Ice Harvest', 2005)",actor
Lara Phillips,"('The Ice Harvest', 2005)",actor
Harold Ramis,"('The Ice Harvest', 2005)",director
Nick Frost,"('Cuban Fury', 2014)",actor
Rashida Jones,"('Cuban Fury', 2014)",actor
Chris O'Dowd,"('Cuban Fury', 2014)",actor
Olivia Colman,"('Cuban Fury', 2014)",actor
James Griffiths,"('Cuban Fury', 2014)",director
Elle Fanning,"('Ginger & Rosa', 2012)",actor
Alice Englert,"('Ginger & Rosa', 2012)",actor
Annette Bening,"('Ginger & Rosa', 2012)",actor
Oliver Platt,"('Ginger & Rosa', 2012)",actor
Sally Potter,"('Ginger & Rosa', 2012)",director
Isaach De Bankole,"('The Limits of Control', 2009)",actor
Alex Descas,"('The Limits of Control', 2009)",actor
Jean-Francois Stevenin,"('The Limits of Control', 2009)",actor
Oscar Jaenada,"('The Limits of Control', 2009)",actor
Jim Jarmusch,"('The Limits of Control', 2009)",director
Jay Gallagher,"('Wyrmwood: Road of the Dead', 2014)",actor
Bianca Bradey,"('Wyrmwood: Road of the Dead', 2014)",actor
Leon Burchill,"('Wyrmwood: Road of the Dead', 2014)",actor
Keith Agius,"('Wyrmwood: Road of the Dead', 2014)",actor
Kiah Roache-Turner,"('Wyrmwood: Road of the Dead', 2014)",director
Michael Shannon,"('My Son, My Son, What Have Ye Done', 2009)",actor
Willem Dafoe,"('My Son, My Son, What Have Ye Done', 2009)",actor
Chloe Sevigny,"('My Son, My Son, What Have Ye Done', 2009)",actor
Udo Kier,"('My Son, My Son, What Have Ye Done', 2009)",actor
Werner Herzog,"('My Son, My Son, What Have Ye Done', 2009)",director
Dave Goelz,"('Muppets from Space', 1999)",actor
Steve Whitmire,"('Muppets from Space', 1999)",actor
Bill Barretta,"('Muppets from Space', 1999)",actor
Jerry Nelson,"('Muppets from Space', 1999)",actor
Tim Hill,"('Muppets from Space', 1999)",director
Aaron Eckhart,"('Meet Bill', 2007)",actor
Jessica Alba,"('Meet Bill', 2007)",actor
Logan Lerman,"('Meet Bill', 2007)",actor
Elizabeth Banks,"('Meet Bill', 2007)",actor
Bernie Goldmann,"('Meet Bill', 2007)",director
Melisa Wallack,"('Meet Bill', 2007)",director
Toby Jones,"('Berberian Sound Studio', 2012)",actor
Antonio Mancino,"('Berberian Sound Studio', 2012)",actor
Guido Adorni,"('Berberian Sound Studio', 2012)",actor
Susanna Cappellaro,"('Berberian Sound Studio', 2012)",actor
Peter Strickland,"('Berberian Sound Studio', 2012)",director
Pierre Niney,"('Yves Saint Laurent', 2014)",actor
Guillaume Gallienne,"('Yves Saint Laurent', 2014)",actor
Charlotte Le Bon,"('Yves Saint Laurent', 2014)",actor
Laura Smet,"('Yves Saint Laurent', 2014)",actor
Jalil Lespert,"('Yves Saint Laurent', 2014)",director
Ghassan Massoud,"('The Legend of Tomiris', 2019)",actor
Eduardo Minett,"('The Legend of Tomiris', 2019)",actor
Zarina Yeva,"('The Legend of Tomiris', 2019)",actor
Aizhan Lighg,"('The Legend of Tomiris', 2019)",actor
Akan Satayev,"('The Legend of Tomiris', 2019)",director
Chris Parker,"('Permanent Vacation', 1980)",actor
Leila Gastil,"('Permanent Vacation', 1980)",actor
John Lurie,"('Permanent Vacation', 1980)",actor
Richard Boes,"('Permanent Vacation', 1980)",actor
Jim Jarmusch,"('Permanent Vacation', 1980)",director
Hugh Grant,"('Extreme Measures', 1996)",actor
Gene Hackman,"('Extreme Measures', 1996)",actor
Sarah Jessica Parker,"('Extreme Measures', 1996)",actor
David Morse,"('Extreme Measures', 1996)",actor
Michael Apted,"('Extreme Measures', 1996)",director
Eric Bana,"('Closed Circuit', 2013)",actor
Rebecca Hall,"('Closed Circuit', 2013)",actor
Jim Broadbent,"('Closed Circuit', 2013)",actor
Ciaran Hinds,"('Closed Circuit', 2013)",actor
John Crowley,"('Closed Circuit', 2013)",director
Kevin Spacey,"('Casino Jack', 2010)",actor
Barry Pepper,"('Casino Jack', 2010)",actor
Jon Lovitz,"('Casino Jack', 2010)",actor
Ruth Marshall,"('Casino Jack', 2010)",actor
George Hickenlooper,"('Casino Jack', 2010)",director
William H. Macy,"('Edmond', 2005)",actor
Julia Stiles,"('Edmond', 2005)",actor
Joe Mantegna,"('Edmond', 2005)",actor
Frances Bay,"('Edmond', 2005)",actor
Stuart Gordon,"('Edmond', 2005)",director
Christopher Soren Kelly,"('Infinity Chamber', 2016)",actor
Cassandra Clark,"('Infinity Chamber', 2016)",actor
Cajardo Lindsey,"('Infinity Chamber', 2016)",actor
Jesse D. Arrow,"('Infinity Chamber', 2016)",actor
Travis Milloy,"('Infinity Chamber', 2016)",director
Farhan Akhtar,"('Toofaan', 2021)",actor
Mrunal Thakur,"('Toofaan', 2021)",actor
Paresh Rawal,"('Toofaan', 2021)",actor
Mohan Agashe,"('Toofaan', 2021)",actor
Rakeysh Omprakash Mehra,"('Toofaan', 2021)",director
Clive Owen,"('Shadow Dancer', 2012)",actor
Andrea Riseborough,"('Shadow Dancer', 2012)",actor
Gillian Anderson,"('Shadow Dancer', 2012)",actor
Aidan Gillen,"('Shadow Dancer', 2012)",actor
James Marsh,"('Shadow Dancer', 2012)",director
Elisha Cuthbert,"('My Sassy Girl', 2008)",actor
Jesse Bradford,"('My Sassy Girl', 2008)",actor
Austin Basis,"('My Sassy Girl', 2008)",actor
Chris Sarandon,"('My Sassy Girl', 2008)",actor
Yann Samuell,"('My Sassy Girl', 2008)",director
Ranbir Kapoor,"('Bachna Ae Haseeno', 2008)",actor
Deepika Padukone,"('Bachna Ae Haseeno', 2008)",actor
Bipasha Basu,"('Bachna Ae Haseeno', 2008)",actor
Minissha Lamba,"('Bachna Ae Haseeno', 2008)",actor
Siddharth Anand,"('Bachna Ae Haseeno', 2008)",director
Donnie Yen,"('Legend of the Fist: The Return of Chen Zhen', 2010)",actor
Alex Ahlstrom,"('Legend of the Fist: The Return of Chen Zhen', 2010)",actor
Shu Qi,"('Legend of the Fist: The Return of Chen Zhen', 2010)",actor
Anthony Chau-Sang Wong,"('Legend of the Fist: The Return of Chen Zhen', 2010)",actor
Andrew Lau,"('Legend of the Fist: The Return of Chen Zhen', 2010)",director
Sam Rockwell,"('Better Living Through Chemistry', 2014)",actor
Olivia Wilde,"('Better Living Through Chemistry', 2014)",actor
Michelle Monaghan,"('Better Living Through Chemistry', 2014)",actor
Jane Fonda,"('Better Living Through Chemistry', 2014)",actor
Geoff Moore,"('Better Living Through Chemistry', 2014)",director
David Posamentier,"('Better Living Through Chemistry', 2014)",director
Sean Bean,"('Cleanskin', 2012)",actor
Charlotte Rampling,"('Cleanskin', 2012)",actor
Abhin Galeya,"('Cleanskin', 2012)",actor
Tom Burke,"('Cleanskin', 2012)",actor
Hadi Hajaig,"('Cleanskin', 2012)",director
Chris Colfer,"('Struck by Lightning', 2012)",actor
Rebel Wilson,"('Struck by Lightning', 2012)",actor
Christina Hendricks,"('Struck by Lightning', 2012)",actor
Dermot Mulroney,"('Struck by Lightning', 2012)",actor
Brian Dannelly,"('Struck by Lightning', 2012)",director
Salman Khan,"('Dabangg', 2010)",actor
Sonakshi Sinha,"('Dabangg', 2010)",actor
Sonu Sood,"('Dabangg', 2010)",actor
Arbaaz Khan,"('Dabangg', 2010)",actor
Abhinav Kashyap,"('Dabangg', 2010)",director
Diane Keaton,"('5 Flights Up', 2014)",actor
Morgan Freeman,"('5 Flights Up', 2014)",actor
Cynthia Nixon,"('5 Flights Up', 2014)",actor
Carrie Preston,"('5 Flights Up', 2014)",actor
Richard Loncraine,"('5 Flights Up', 2014)",director
Jack Plotnick,"('Wrong', 2012)",actor
Todd Giebenhain,"('Wrong', 2012)",actor
Eric Judor,"('Wrong', 2012)",actor
Alexis Dziena,"('Wrong', 2012)",actor
Quentin Dupieux,"('Wrong', 2012)",director
Amitabh Bachchan,"('Chehre', 2021)",actor
Emraan Hashmi,"('Chehre', 2021)",actor
Krystle D'Souza,"('Chehre', 2021)",actor
Annu Kapoor,"('Chehre', 2021)",actor
Rumi Jaffery,"('Chehre', 2021)",director
Mohanlal,"('Jilla', 2014)",actor
Joseph Vijay,"('Jilla', 2014)",actor
Kajal Aggarwal,"('Jilla', 2014)",actor
Sampath Raj,"('Jilla', 2014)",actor
R.T. Neason,"('Jilla', 2014)",director
Corey Hawkins,"('The Last Voyage of the Demeter', 2023)",actor
Aisling Franciosi,"('The Last Voyage of the Demeter', 2023)",actor
Liam Cunningham,"('The Last Voyage of the Demeter', 2023)",actor
David Dastmalchian,"('The Last Voyage of the Demeter', 2023)",actor
Andre Øvredal,"('The Last Voyage of the Demeter', 2023)",director
Sylvester Stallone,"('The Expendables 3', 2014)",actor
Jason Statham,"('The Expendables 3', 2014)",actor
Jet Li,"('The Expendables 3', 2014)",actor
Antonio Banderas,"('The Expendables 3', 2014)",actor
Patrick Hughes,"('The Expendables 3', 2014)",director
Aomi Muyock,"('Love', 2015)",actor
Karl Glusman,"('Love', 2015)",actor
Klara Kristin,"('Love', 2015)",actor
Juan Saavedra,"('Love', 2015)",actor
Gaspar Noe,"('Love', 2015)",director
Anthony Ramos,"('Transformers: Rise of the Beasts', 2023)",actor
Dominique Fishback,"('Transformers: Rise of the Beasts', 2023)",actor
Luna Lauren Velez,"('Transformers: Rise of the Beasts', 2023)",actor
Dean Scott Vazquez,"('Transformers: Rise of the Beasts', 2023)",actor
Steven Caple Jr.,"('Transformers: Rise of the Beasts', 2023)",director
Dave Bautista,"('Knock at the Cabin', 2023)",actor
Jonathan Groff,"('Knock at the Cabin', 2023)",actor
Ben Aldridge,"('Knock at the Cabin', 2023)",actor
Nikki Amuka-Bird,"('Knock at the Cabin', 2023)",actor
M. Night Shyamalan,"('Knock at the Cabin', 2023)",director
Russell Crowe,"(""The Pope's Exorcist"", 2023)",actor
Daniel Zovatto,"(""The Pope's Exorcist"", 2023)",actor
Alexandra Essoe,"(""The Pope's Exorcist"", 2023)",actor
Franco Nero,"(""The Pope's Exorcist"", 2023)",actor
Julius Avery,"(""The Pope's Exorcist"", 2023)",director
Lewis Tan,"('Mortal Kombat', 2021)",actor
Jessica Mcnamee,"('Mortal Kombat', 2021)",actor
Josh Lawson,"('Mortal Kombat', 2021)",actor
Joe Taslim,"('Mortal Kombat', 2021)",actor
Simon Mcquoid,"('Mortal Kombat', 2021)",director
Christian Bale,"('Amsterdam', 2022)",actor
Margot Robbie,"('Amsterdam', 2022)",actor
John David Washington,"('Amsterdam', 2022)",actor
Alessandro Nivola,"('Amsterdam', 2022)",actor
David O. Russell,"('Amsterdam', 2022)",director
Alexander Skarsgard,"('Infinity Pool', 2023)",actor
Mia Goth,"('Infinity Pool', 2023)",actor
Cleopatra Coleman,"('Infinity Pool', 2023)",actor
Dunja Sepcic,"('Infinity Pool', 2023)",actor
Brandon Cronenberg,"('Infinity Pool', 2023)",director
Sydney Sweeney,"('The Voyeurs', 2021)",actor
Justice Smith,"('The Voyeurs', 2021)",actor
Ben Hardy,"('The Voyeurs', 2021)",actor
Natasha Liu Bordizzo,"('The Voyeurs', 2021)",actor
Michael Mohan,"('The Voyeurs', 2021)",director
Paul Rudd,"('Ant-Man and the Wasp: Quantumania', 2023)",actor
Evangeline Lilly,"('Ant-Man and the Wasp: Quantumania', 2023)",actor
Michael Douglas,"('Ant-Man and the Wasp: Quantumania', 2023)",actor
Michelle Pfeiffer,"('Ant-Man and the Wasp: Quantumania', 2023)",actor
Peyton Reed,"('Ant-Man and the Wasp: Quantumania', 2023)",director
Lauren Lavera,"('Terrifier 2', 2022)",actor
David Howard Thornton,"('Terrifier 2', 2022)",actor
Elliott Fullam,"('Terrifier 2', 2022)",actor
Sarah Voigt,"('Terrifier 2', 2022)",actor
Damien Leone,"('Terrifier 2', 2022)",director
Bill Pullman,"('Casper', 1995)",actor
Christina Ricci,"('Casper', 1995)",actor
Cathy Moriarty,"('Casper', 1995)",actor
Eric Idle,"('Casper', 1995)",actor
Brad Silberling,"('Casper', 1995)",director
Jeremy Renner,"('Hansel & Gretel: Witch Hunters', 2013)",actor
Gemma Arterton,"('Hansel & Gretel: Witch Hunters', 2013)",actor
Peter Stormare,"('Hansel & Gretel: Witch Hunters', 2013)",actor
Famke Janssen,"('Hansel & Gretel: Witch Hunters', 2013)",actor
Tommy Wirkola,"('Hansel & Gretel: Witch Hunters', 2013)",director
Seth Rogen,"('Sausage Party', 2016)",actor
Kristen Wiig,"('Sausage Party', 2016)",actor
Jonah Hill,"('Sausage Party', 2016)",actor
Alistair Abell,"('Sausage Party', 2016)",actor
Conrad Vernon,"('Sausage Party', 2016)",director
Greg Tiernan,"('Sausage Party', 2016)",director
Margot Robbie,"('Birds of Prey', 2020)",actor
Rosie Perez,"('Birds of Prey', 2020)",actor
Mary Elizabeth Winstead,"('Birds of Prey', 2020)",actor
Jurnee Smollett,"('Birds of Prey', 2020)",actor
Cathy Yan,"('Birds of Prey', 2020)",director
Sandra Bullock,"('The Lost City', 2022)",actor
Channing Tatum,"('The Lost City', 2022)",actor
Daniel Radcliffe,"('The Lost City', 2022)",actor
Da'Vine Joy Randolph,"('The Lost City', 2022)",actor
Aaron Nee,"('The Lost City', 2022)",director
Adam Nee,"('The Lost City', 2022)",director
Elizabeth Banks,"('Brightburn', 2019)",actor
David Denman,"('Brightburn', 2019)",actor
Jackson A. Dunn,"('Brightburn', 2019)",actor
Abraham Clinkscales,"('Brightburn', 2019)",actor
David Yarovesky,"('Brightburn', 2019)",director
Ben Affleck,"('Justice League', 2017)",actor
Gal Gadot,"('Justice League', 2017)",actor
Jason Momoa,"('Justice League', 2017)",actor
Ezra Miller,"('Justice League', 2017)",actor
Zack Snyder,"('Justice League', 2017)",director
Elena Anaya,"('Room in Rome', 2010)",actor
Natasha Yarovenko,"('Room in Rome', 2010)",actor
Enrico Lo Verso,"('Room in Rome', 2010)",actor
Najwa Nimri,"('Room in Rome', 2010)",actor
Julio Medem,"('Room in Rome', 2010)",director
Aleksey Chadov,"('The Blackout', 2019)",actor
Pyotr Fyodorov,"('The Blackout', 2019)",actor
Svetlana Ivanova,"('The Blackout', 2019)",actor
Lukerya Ilyashenko,"('The Blackout', 2019)",actor
Egor Baranov,"('The Blackout', 2019)",director
Jessie Buckley,"('Men', 2022)",actor
Rory Kinnear,"('Men', 2022)",actor
Paapa Essiedu,"('Men', 2022)",actor
Gayle Rankin,"('Men', 2022)",actor
Alex Garland,"('Men', 2022)",director
Eliza Dushku,"('Wrong Turn', 2003)",actor
Jeremy Sisto,"('Wrong Turn', 2003)",actor
Emmanuelle Chriqui,"('Wrong Turn', 2003)",actor
Desmond Harrington,"('Wrong Turn', 2003)",actor
Rob Schmidt,"('Wrong Turn', 2003)",director
Scott Speedman,"('The Strangers', 2008)",actor
Liv Tyler,"('The Strangers', 2008)",actor
Gemma Ward,"('The Strangers', 2008)",actor
Alex Fisher,"('The Strangers', 2008)",actor
Bryan Bertino,"('The Strangers', 2008)",director
Kristen Stewart,"('Snow White and the Huntsman', 2012)",actor
Chris Hemsworth,"('Snow White and the Huntsman', 2012)",actor
Charlize Theron,"('Snow White and the Huntsman', 2012)",actor
Sam Claflin,"('Snow White and the Huntsman', 2012)",actor
Rupert Sanders,"('Snow White and the Huntsman', 2012)",director
George Clooney,"('Ticket to Paradise', 2022)",actor
Sean Lynch,"('Ticket to Paradise', 2022)",actor
Julia Roberts,"('Ticket to Paradise', 2022)",actor
Arielle Carver-O'Neill,"('Ticket to Paradise', 2022)",actor
Ol Parker,"('Ticket to Paradise', 2022)",director
Steve Railsback,"('Lifeforce', 1985)",actor
Mathilda May,"('Lifeforce', 1985)",actor
Peter Firth,"('Lifeforce', 1985)",actor
Frank Finlay,"('Lifeforce', 1985)",actor
Tobe Hooper,"('Lifeforce', 1985)",director
Dee Wallace,"('Critters', 1986)",actor
M. Emmet Walsh,"('Critters', 1986)",actor
Billy Green Bush,"('Critters', 1986)",actor
Scott Grimes,"('Critters', 1986)",actor
Stephen Herek,"('Critters', 1986)",director
Jamie Foxx,"('Day Shift', 2022)",actor
Dave Franco,"('Day Shift', 2022)",actor
Natasha Liu Bordizzo,"('Day Shift', 2022)",actor
Meagan Good,"('Day Shift', 2022)",actor
J.J. Perry,"('Day Shift', 2022)",director
Adam Sandler,"('The Waterboy', 1998)",actor
Kathy Bates,"('The Waterboy', 1998)",actor
Henry Winkler,"('The Waterboy', 1998)",actor
Fairuza Balk,"('The Waterboy', 1998)",actor
Frank Coraci,"('The Waterboy', 1998)",director
Pierce Brosnan,"('Die Another Day', 2002)",actor
Halle Berry,"('Die Another Day', 2002)",actor
Rosamund Pike,"('Die Another Day', 2002)",actor
Toby Stephens,"('Die Another Day', 2002)",actor
Lee Tamahori,"('Die Another Day', 2002)",director
Betsy Palmer,"('Friday the 13th Part 2', 1981)",actor
Amy Steel,"('Friday the 13th Part 2', 1981)",actor
John Furey,"('Friday the 13th Part 2', 1981)",actor
Adrienne King,"('Friday the 13th Part 2', 1981)",actor
Steve Miner,"('Friday the 13th Part 2', 1981)",director
Ken Marshall,"('Krull', 1983)",actor
Lysette Anthony,"('Krull', 1983)",actor
Freddie Jones,"('Krull', 1983)",actor
Francesca Annis,"('Krull', 1983)",actor
